Title,Ingredients,Steps,Loves,URL
Nasi Goreng Kambing kebon sirih,nasi putih dingin 350 gr daging kambing  potong kotak 1 btg kecil kayu manis 1 sdm bubuk kari Bumbu yg dihaluskan : 8 bawang merah 4 siung bawang putih 1 2 sdt jintan 1 2 sdt adas ketumbar 2 kapulaga 5 bh cengkeh 1 sdt merica secukupnya kecap manis  garam  gula  air ,Tumis kapulaga  bumbu halus  bubuk kari sampai harum masukkan daging kambing. Aduk rata Tambahkan air secukupnya  beri garam  gula masak sampai daging empuk dan kuah mengental Masukkan nasi dan kecap. Aduk2 sampai merata dan nasi agak mengering Sajikan nasi goreng kambing dg acar kol  timun emping dan bawang merah goreng Ini beneran enaaak. Daging nya masak sampai empuuk ya  pakai kambing yg ada sedikit lemaknya spy lebih gurih ,355,/id/resep/1041289-nasi-goreng-kambingala-kebon-sirih
Nasi Kebuli,2 gelas takar beras 160 gram gelas 200 gram daging kambing  potong2 400 ml air (sesuaikan jenis berasnya) 1 sdm bubuk kari instant 2 sdm minyak goreng 1 batang kayu manis Bumbu rempah : 1 buah bunga lawang pekak 1 buah kapulaga  ambil bijinya 3 butir cengkeh 1 sdt kayu manis bubuk 1 4 sdt jintan Bumbu halus: 3 siung bawang putih 4 buah bawang merah 1 sdt kunyit 1 2 sdt lada halus 1 sdt ketumbar halus 1 2 sdm garam (sesuai selera Pelengkap: Telur dadar Emping goreng Bawang merah goreng Kacang tanah goreng kacang mete goreng ,Rebus daging dengan air secukupnya sampai daging setengah matang. Angkat sisihkan. Panaskan minyak tumis bumbu halus sampai harum tambahkan bumbu rempah halus tumis kembali sampai matang Tambahkan air biarkan mendidih lalu masukkan daging  masak sampai matang. Matikan api Cuci beras dan masukkan ke rice cooker lalu tuang air rebusan daging beserta dagingnya aduk2  (saya total cairan 350 ml ya  sesuaikan dg jenis beras masing2 ya) masak sampai matang Sajikan dengan pelengkap ,214,/id/resep/3338363-nasi-kebuli
Sate Kambing,300 gram daging kambing 1 sdt nanas parut secukupnya Gula secukupnya Garam secukupnya Kecap manis Bumbu halus: 2 siung bawang putih 3 buah bawang merah 1 2 sdm ketumbar 2 kemiri Sambal kecap: 6 buah cabe merah kecil  potong2 3 buah cabe hijau kecil potong2 2 buah bawang merah  potong2 Secukupnya kecap manis ,Potong dadu kecil daging kambing  lumuri dengan 1 sdt nanas parut  diamkan 20 menit (misal skip langkah melumuri nanas ini juga tdk apa2 cuma daging tidak akan seempuk jika dilumuri nanas parut) Haluskan bumbu  siram kedalam daging campur sampai rata diamkan 20-30 menit agar bumbu meresap. Ambil tusuk sate  tusukkan daging 4-5 potong daging. Panggang/bakar sampai matang Angkat  hidangkan dengan sambal kecap Sambal kecap: aduk semua bahan jadi satu  hidangkan. ,168,/id/resep/3271777-sate-kambing-kitaberbagi
Nasi Kebuli Kambing,"1 5 Kg potongan Iga kambing domba (bisa jadi 12-14 potong besar) 1 kg Beras Basmati (beras india) 2 8 liter air 100 ml minyak 80 gr minyak samin untuk menumis bumbu secukupnya minyak samin untuk grill kambing  tomat  bawang bombay dan cabai hijau bumbu yang di haluskan 200 gr Bawang Merah 80 gr Bawang Putih 2 sdm ketumbar 2 sdm lada 1 2 Biji pala 1 sdm jinten 1 sdm adas manis 5-6 cm Kunyit (kira"" aja) 1 buah bawang bombay besar (potong) Bahan YANG DI TABUR 1 sdm Cengkeh 1 sdm Kapulaga hijau (biasa juga gpp) 10 cm kayu manis 10 butir Pekak (bunga lawang) 5 lembar daun salam 4 lembar daun jeruk bahan tambahan 200 ml susu plain full cream secukupnya garam secukupnya kaldu bubuk (bila suka) secukupnya Kismis secukupnya cabai hijau besar secukupnya bawang putih secukupnya Tomat secukupnya bawang goreng (cek di resep saya yg lain) Acar Nanas & Timun (cek di resep saya yg lain) ","Panaskan minyak samin dalam panci biasa atau panci pressto  kemudian tumis bumbu halus hingga wangi Bila di rasa sudah wangi si bumbu dan benar""matang masukan kambing  garam kaldu bubuk  aduk lalu masukkan air dan susu. Kemudin masukkan bumbu tabur dan bawang bombay yg sudah di potong""  tutup presto masak dengan api besar dulu. Bila uap presto mulai keluar langsung kecil kan api masak hingga 1 jam 30 menit (sampai empuk) tetapi bila tidak memasak dgn presto langsung masak dengan api kecil saja namun bisa lebih lama waktu memasaknya. Sekitar 2-3 jam. Sembari menunggu kambing empuk masak dulu Acar dan Bawang goreng untuk pelengkapnya. (Cek di resep saya yg lain) bawang goreng & acar nanas timun Kemudian bila suka bisa tambahkan bahan pelengkap juga seperti bawang bombai tomat bawang putih  dan cabai hijau untuk di goreng dengan sedikit minyak samin atau bisa juga mentega. Jika sudah empuk si kambing coba rasakan kuah kaldunya. Bila sudah enak masak beras dengan kuah kaldu tersebut. Jangan lupa cuci berasnya dulu sebelum di masak. Karena saya pakai beras basmati  takarannya 1kg beras air kaldunya 2 liter. Saya masak dengan rice cooker  jd kaldunya saya saring dulu sebelum tercampur dengan beras. Agar tidak ribet nanti misah""in rempah"" di dalam nasi. Jangan lupa angkat dagingnya dan taburi lada serta garam sedikit saja untuk nanti mau di bakar atau goreng bebas. Klo suka manis bisa beri sedikit kecap. Atau bisa di bumbui dengan apa saja sesuai selera kemudian nanti di bakar. Ini hasil beras yg sudah matang dengan rice cooker. Bila sudah lengkap semua  bisa di tata sebagus mungkin jangan lupa di tabur kismis  bawang goreng agar wangi dan menggugah selera untuk disantap bersama keluarga ðŸ˜‹ Oya untuk daging kambing lebih bagus dengan kambing muda agar cepat empuk dan nikmat. Bagiannya yg enak buat nasi kebuli adalah tulang iga dan buntut. Duh nikmat banget deh.. Minyak samin juga bisa aja klo mau di ganti mentega. Tapi beda wanginya. Kemudian jangan ragu masukin rempah"" karena nasi kebuli ini harus berani bumbu kalau mau nikmat! Lebih dari takaran saya juga bisa. Pokoknya kreasikan sendiri saja. Klo orang betawi arab biasanya suka nambahin bumbu gule instan. Biar medok rasanya. Cuma kalau saya tidak pakai karena ini rasanya udh arab banget buat saya. Wangi dan soft gak bikin eneg. Malah bikin nambah mulu ðŸ˜‚ apa lagi ada cabai hijau yg di goreng dengan minyak samin sedikit. Haduh pedes nikmat ",168,/id/resep/2739948-nasi-kebuli-kambing-nikmat
Tongseng Kambing,500 gr daging iga kambing (potong kecil) 5 siung bawang merah (iris) 3 siung bawang putih (iris) 2 lembar daun salam 2 lembar daun jeruk 2 cm lengkuas (geprek) 1 buah tomat (belah 4) 2 sdm santan kental (kara) 600 ml air 1 sdt gula merah 1 sdt kaldu bubuk secukupnya garam secukupnya kol 10 buah cabe rawit (potong2) bumbu halus : 1 ruas jari kunyit 3 butir kemiri 1 sdt ketumbar 1 sdt biji lada ,Tumis bumbu halus sampai harum  masukkan bawang merah iris  bawang putih iris  daun salam  daun jeruk  lengkuas  tumis lagi sampai bawang layu. Tambahkan air masak sampai mendidih  masukkan daging kambing beri santan masak lg sampai mendidih. Tambahkan gula merah  kaldu bubuk  garam  tomat. masak sampai kuah tanak & tes rasa. Terakhir masukkan cabe rawit & kol  masak sampai kol layu. Angkat sajikan dgn nasi hangat. ,155,/id/resep/3285516-tongseng-kambing-kitaberbagi
Gule Kambing Semarang,500 gr Daging Kambing rebus dengan 1 liter air sampe empux 200 ml Santan kental  sesuai selera 2 batang Serai memarkan 3 lembar Daun Salam 4 helai Daun jeruk purut Cabe rawit merah biarkan utuh 2 butir Cengkeh 1 batang Kayu manis Bumbu halus : 5 siung Bawang Merah 4 siung Bawang Putih 6 butir Kemiri sangrai 1 sdt Jinten 2 cm Kunyit 1 cm Jahe 2 cm Lengkuas 1 sdt Ketumbar sesuai selera Merica Pala Garam Gula Kaldu bubuk ,Presto daging kambing dengan daun salam serai daun jeruk dan lain2 sampai empuk. - Masukkan santan aduk2 terus dalam api sedang Note : boleh juga buang 1/4 air rebusan diganti air biasa jika dirasa terlalu 'prengus'.tapi kalo aku tetep takpake air rebusannya semua trus tak tambah air soale suami suka kuah. Tumis bumbu halus sampai harum banget masukkan tumisan bumbu ini ke dalam rebusan daging tadi ya.. Rebus lagi sampai santan meresap Tambahkan cabai rawit merah utuh lalu kasi merica pala garam gula kaldu bubuk sesuai selera yaa TEST Rasa sebelum diangkat. - untuk masalah sedikit/banyaknya kuah tinggal disesuaikan selera ya.  Yummy bangett sama nasi putih hangattt :) Sepertinya kalo di tempat lain gulainya banyak yang merah ya.tapi kalo di semarang sini gule kambing selalu berkuah kuning..bahkan ada yang kuning pucat banget kayak opor gitu..xixixixi Suami selalu request daging harus sangat juicy+empuk..jadi gampang lepas dari tulangnya.. ,143,/id/resep/669091-gulai-kambing-enakkk-ala-semarang
Tongseng Kambing,500 gram daging kambing 3 lembar daun salam 1 5 liter air untuk merebus 1200 ml santan kekentalan sedang 3 cm lengkuas  dimemarkan 2 batang serai  diambil putihnya  dimemarkan 3 siung bawang merah diiris tipis-tipis 10 buah cabe rawit merah  diiris serong 10 buah cabe rawit utuh 3 sendok makan kecap manis 1 sdm gula merah 6 sdm minyak untuk menumis Pelengkap : 200 gram kol  diiris kotak 3 batang daun bawang  diiris kotak 1 buah tomat merah  dipotong-potong secukupnya Bawang goreng Bumbu Halus : 5 siung bawang putih 10 siung bawang merah 1 2 sdt lada 4 buah kemiri  disangrai 3 cm kunyit  dibakar 2 cm jahe 1 sdm ketumbar secukupnya garam secukupnya kaldu bubuk ,Rebus daging kambing dan daun salam dalam air mendidih  tunggu sampai daging matang. Angkat dan buang airnya  potong kecil kecil. Tumis bumbu halus dengan minyak sampai harum Rebus santan  bumbu halus  daun salam  lengkuas dan serai sambil diaduk  tunggu hingga mendidih  masukkan cabe rawit utuh  tambahkan garam  gula merah  bubuk kaldu  masak sampai kuah matang Panaskan minyak. Tumis bawang merah  cabe rawit merah dan daging kambing sampai harum. Tambahkan kol ke dalam tumisan  tumis kol hingga layu Tuang kuah santan  tambahkan kecap manis  koreksi rasanya tunggu hingga mendidih. Setelah kuah santan mendidih  tambahkan daun bawang dan potongan tomat  masak hingga matang  sajikan hangat ,137,/id/resep/3425369-tongseng-kambing
Tongseng Kambing (SUMATRA),1 kg daging kambing 1 2 sdt Lada secukupnya Garam secukupnya Gula secukupnya Kecap manis Bumbu halus : 6 siung bawang merah 4 siung bawang putih 10 buah cabe merah 7 buah cabe rawit Bumbu geprek : 1 ruas jahe 1 ruas lengkuas 1 batang sereh 2 lembar daun salam 2 lembar daun jeruk potong Bumbu 1 2 potong bawang bombay 1 buah tomat ukuran kecil 9 iris kol ,Rebus terlebih dahulu daging kambing hingga empuk ( kalo mau lebih tak tercium wangi kambingnya bisa di rendam dengan air nanas bunda Tumis bumbu halus beserta bumbu geprek Tambahkan air dan masukan daging kambing  garam  gula  lada  dan kecap tes rasa Terakhir masukan bumbu iris biarkan layu dan tongseng kambing siap di santap ðŸ¤— ,112,/id/resep/2445250-tongseng-kambing-sumatra-%F0%9F%8C%B8
Nasi Goreng Kambing,2-3 porsi nasi dingin (lebih bagus nasi yg dimasak kemaren) 1 mangkuk sedang daging kari kambing  Potong-potong (tanpa kuah) 1 batang kecil kayu manis 1 4 sdt lada bubuk secukupnya kecapmanis dan garam secukupnya  minyak untuk menumis bumbu halus: 7 siung bawang merah 4 siung bawang putih 4 buah cabe merah keriting 2 buah cabe rawit merah 2 butir kapulaga 1 4 sdt jinten 1 2 sdt ketumbar 2 butir cengkeh 3 cm kunyit pelengkap: sesuai selera bawang merah goreng sesuai selera acar timun sesuai selera emping kerupuk ,Panaskan minyak  tumis bumbu halus  kayu manis hingga harum dan bumbu matang. Masukkan daging kambing  garam dan lada  aduk rata. Masukkan nasi  kecap  lada halus  aduk hingga rata dengan api besar. Sajikan nasi goreng kambing dg taburan bawang merah goreng yg banyak dan pelengkap. Super yummyðŸ˜‹ ,101,/id/resep/2435151-nasi-goreng-kambing
Gulai kambing Padang,600 g daging kambing minyak goreng 2 batang serai daun kunyit butir pala kayu manis air santan cabai merah keriting bawang merah siung bawang putih jahe kunyit lengkuas butir kemiri sangrai merica bubuk ketumbar jinten garam,Rebus daging tulang dan jeroan hingga empuk lalu angkat dan sisihkan (aku di presto 15 menit udh empuk bgt) Tumis bumbu halus hingga barum masukan bumbu rempah lainnya tumis hingga bumbu benar2 matang Didihkan santan di panci masukan bumbu tumis aduk trs agar santan tdk pecah beri gula garam kaldu bubuk masukan daging tulang dan jeroan kambing masak hingga bumbu meresap dan kuah sedikit mengental angkat dan sajikan ðŸ˜Š ,95,/id/resep/3261953-gulai-kambing-kitaberbagi
