Title,Ingredients,Steps,Loves,URL,Parser Ingredient
Orak arik telur buncis,1 butir telur -- 10 buncis -- 3 siung bawang merah -- 2 siung bawang putih -- 6 cabai rawit -- 1 sdm kecap manis -- Penyedap rasa --,"Haluskan bawang merah ,  bawang putih dan cabai -- Iris buncis sesuai selera -- Tumis bumbu halus hingga harum -- Masukan buncis hingga agak layu -- Masukan penyedap -- Masukan telur ,  lalu campur dengan buncis di orak arik hingga rata.. tunggu sebentar kemudian di orak arik lagi..  -- Masukan kecap manis -- Masukan air  -- Koreksi rasa -- ",1.0,,telur buncis bawang merah bawang putih cabai rawit kecap manis penyedap
Terik Ayam Tempe Telur,4 sayap ayam -- 4 buah telur -- 1 / 2 papan tempe -- Bumbu halus: -- 5 siung bawang merah -- 4 siung bawang putih -- 2 butir kemiri -- 1 / 2 sdm ketumbar -- Garam -- Bumbu lain: -- 2 cm lengkuas -- 1 lembar daun salam -- 1 batang sereh -- Gula jawa -- Bawang goreng -- Minyak -- 1 bungkus santan kara -- Air -- 5 buah cabai rawit --,"Cuci sayap ayam kemudian sisihkan. Rebus telur dan kupas. Sisihkan. Potong tempe sesuai selera. Sisihkan. -- Panaskan minyak langsung di dalam panci. Tumis sereh ,  daun salam ,  dan lengkuas. Setelah beberapa saat masukkan bumbu halus. Tumis sampai berbau harum. Kemudian masukkan air dan gula jawa dan cabai rawit. Jika air sudah mendidih ,  masukkan sayap ayam dan telur. Masukkan tempe. Tunggu sampai ayam empuk. Masukkan santan kara. Tunggu beberapa saat. Sesuaikan rasa. Matikan api ,  dan taburkan bawang goreng. -- Terik siap dinikmati",6.0,,sayap ayam telur tempe bawang merah bawang putih kemiri ketumbar garam lengkuas salam sereh gula jawa bawang minyak santan kara air cabai rawit
Telur Kornet,1 / 2 kaleng kornet -- 2-3 buah bawang prei -- 2 butir telur -- 1 sdm tepung terigu -- cabai rawit -- Garam -- 1 / 2 sdt Merica -- 1 / 2 sdm Saus tiram --,"Campur kornet ,  telur ,  bawang prei dan cabai yang sudah di iris tipis. Tambahkan garam merica saos tiram dan tepung terigu. Goreng 1 sdm kemudian cek rasa. Adonan siap di goreng.",7.0,,kaleng kornet bawang prei telur tepung terigu cabai rawit garam merica saus tiram
Tahu Telur Surabaya,1 butir telur -- 1 potong tahu putih goreng setengah matang -- 1 / 2 siung bawang putih goreng -- 1 sdm petis udang -- 3 sdm kacang tanah goreng -- Gula merah -- Air -- Kucai / seledri -- Bawang goreng -- Garam -- Kecap manis -- 4 buah cabai rawit goreng -- Tauge -- Acar --,"Uleg kacang ,  cabai ,  bawang putih ,  gula merah ,  petis. Tambahkan air matang. Aduk hingga rata. Sisihkan -- Potong tahu kecil-kecil. Sisihkan -- Kocok telur dan garam. Masukkan tahu ke telur. Goreng -- Campur telur goreng dan tauge dengan saus kacang. Aduk rata. -- Pindah ke piring ,  tambahkan kecap manis ,  taburi bawang goreng dan kucai / seledri. Tambahkan acar -- ",10.0,,telur tahu putih bawang putih petis udang kacang tanah gula merah air kucai seledri bawang garam kecap manis cabai rawit tauge acar
Telur ceplok masak kecap,4 butir telur -- 4 siung bawang merah -- 2 siung bawang putih -- 1 buah tomat -- 4 buah cabai merah besar -- Kecap --,"Ceplok telur lalu sisihkan -- Iris tipis dua bawang , cabai dan tomat -- Panaskan minyak tumis bumbu sampai harum -- Tambahkan kecap masukan telur tambahkan air sampai bumbu meresap -- Angkat dan sajikan -- ",0.0,,telur bawang merah bawang putih tomat cabai merah kecap
Sambal telur ayam,1 / 2 kg telur -- 6 cabai merah besar -- 10 cabai rawit -- lada -- Garam -- Gula putih -- Kecap manis -- 3 bawang putih -- 6 bawang merah --,"Rebus telur lalu kupas dan goreng -- Rebus cabai merah ,  rawit ,  bawang putih ,  bawang merah ,  tomat -- Lalu haluskan lada garam ,  dan bumbu yg di rebus tadi -- Tumis bumbu sampai harum masukkan penyedap rasa dan gula ,  aduk rata. Masukkan air matang sedikit lalu masukkan kecap manis sesuai selera dan telur. Tunggu sampai air menyusut. Icip rasa -- Sajikan -- ",6.0,,telur cabai merah cabai rawit lada garam gula putih kecap manis bawang putih bawang merah
Telur Dadar Padang,"3 butir telur ayam -- 4 sdm kelapa parut , sangrai -- 2 sdm tepung beras , larutkan dengan sedikit air -- 1 / 2 lembar daun kunyit , iris halus -- 2 batang daun bawang , iris halus -- Tambahkan garam dan kaldu bubuk -- Bumbu halus : -- 3 buah cabai merah , giling / iris halus -- 5 buah bawang merah -- 3 siung bawang putih -- 1 / 2 ruas kunyit -- 1 sdt kari bubuk -- 1 sdt ketumbar bubuk -- 1 / 2 sdt lada bubuk -- ","Kocok telur  -- Masukkan bumbu halus , aduk rata. -- Tambahkan bahan lainnya , beri garam dan kaldu bubuk , tes rasa. -- Panaskan wajan datar anti lengket dengan api besar , beri minyak goreng. -- Setelah minyak panas , tuang kocokan telur , kecilkan api , tutup wajan. -- Jika sudah kokoh , balik telur dan masak sisi lainnya hingga matang. -- Angkat dan tiriskan. -- ",39.0,,telur ayam kelapa tepung beras air kunyit bawang garam kaldu cabai merah bawang merah bawang putih kunyit kari ketumbar lada
Ceplok telur Saus Asam Manis,"2 butir telur -- 1 ruas wortel  -- 1 siung bawang putih geprek cacah halus -- 1 / 2 siung bawang bombay iris tipis -- 1 sdm saus tomat -- 1 sdm saus sambel -- garam ,  merica dan kaldu bubuk -- gula -- 30 ml air -- ","Ceplok telur sisihkan -- Tumis bawang putih dan bawang bombay sampai harum lalu masukkan wortel ,  tumis sampai agak layu -- Kecilkan api ,  tambahkan air dan masukkan saus serta bumbu perasa -- Aduk rata dan masak sampai mendidih ,  lalu siram keatas telur ceplok -- ",5.0,,telur wortel bawang putih bawang bombay saus tomat saus sambel garam merica kaldu gula air
Telur Bumbu Bali,"4-5 butir telur rebus ,  lalu goreng -- 2 lembar daun jeruk  -- 1 batang serai -- 50 ml air -- garam ,  kaldu bubuk rasa ayam & gula merah -- minyak -- bumbu halus : -- 6 siung bawang merah -- 3 siung bawang putih -- 10 buah cabai merah keriting -- terasi goreng -- 1 ruas jahe -- ","Tumis bumbu halus bersama daun jeruk & serai hingga harum & matang. Tambahkan garam , kaldu bubuk & gula merah. -- Masukkan telur. Aduk hingga rata. Koreksi rasa
Tuang air. Masak hingga matang sampai air menyusut. -- Telur Bumbu Bali siap disajikan. -- ",49.0,,telur jeruk serai air garam kaldu ayam gula merah minyak bawang merah bawang putih cabai merah keriting terasi jahe
Bihun Telur Gulung,2 butir telur -- 50 gram bihun -- garam -- Penyedap rasa -- lada bubuk -- 4 sdm air -- Saus --,"Masukkan telur ,  garam ,  penyedap ,  lada bubuk dan air kedalam botol. Kocok hingga tercampur rata. -- Seduh bihun dengan air panas ,  diamkan sampe bihun lunak ,  lalu tiriskan. -- Panaskan minyak. -- Tuang telur ,  lalu masukkan bihun. Lakukan gerakan memutar dengan menggunakan tusukan ,  lalu gulung telur kepinggiran wajan. -- Lakukan sampai habis. -- Tuangkan saus diatasnya. Hidangan siap dinikmati --  -- ",10.0,,telur bihun garam penyedap lada air saus
